"global_turn_id";"query";"answer";"alternative_answer";"level_0_query_need";"level_1_query_need";"is_exact_query_answer_match";"is_internal_knowledge_source";"is_reasoning";"recipe_id";"recipe_title";"step_number";"conv_id";"turn_id";"source_url"
"0_1";"what type of stems do I use in this recipe";"thick cilantro";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"1";"0";"1";"https://www.seriouseats.com/west-african-inspired-vegan-peanut-sweet-potato-soup-recipe"
"0_2";"what should I combine ingredients in";"bowl";"";"fact";"equipment";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"1";"0";"2";"https://www.seriouseats.com/west-african-inspired-vegan-peanut-sweet-potato-soup-recipe"
"0_3";"what do I need to add 3 tablespoons of";"coconut milk";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"2";"0";"3";"https://www.seriouseats.com/west-african-inspired-vegan-peanut-sweet-potato-soup-recipe"
"0_4";"how long will it take for the coconut fat to separate";"about 4 minutes";"";"fact";"time";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"2";"0";"4";"https://www.seriouseats.com/west-african-inspired-vegan-peanut-sweet-potato-soup-recipe"
"0_5";"what else is in the mixture apart from garlic";"ginger";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"2";"0";"5";"https://www.seriouseats.com/west-african-inspired-vegan-peanut-sweet-potato-soup-recipe"
"0_6";"how much water do I add to the mixture";"1 quart";"";"fact";"amount";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"3";"0";"6";"https://www.seriouseats.com/west-african-inspired-vegan-peanut-sweet-potato-soup-recipe"
"0_7";"what else can I use apart from water";"stock";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"3";"0";"7";"https://www.seriouseats.com/west-african-inspired-vegan-peanut-sweet-potato-soup-recipe"
"0_8";"what should I put the peanuts in";"medium skillet";"";"fact";"equipment";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"4";"0";"8";"https://www.seriouseats.com/west-african-inspired-vegan-peanut-sweet-potato-soup-recipe"
"0_9";"how long would it take the peanuts to turn a deep golden brown";"about 8 minutes";"";"fact";"time";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"4";"0";"9";"https://www.seriouseats.com/west-african-inspired-vegan-peanut-sweet-potato-soup-recipe"
"0_10";"what should I transfer the cooked peanuts to";"bowl";"";"fact";"equipment";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"4";"0";"10";"https://www.seriouseats.com/west-african-inspired-vegan-peanut-sweet-potato-soup-recipe"
